iter	Logloss	Accuracy
0	0.6373004833	0.7537050719
1	0.6016270558	0.7524012343
2	0.580104838	0.7652657656
3	0.5514984976	0.7792168282
4	0.538164376	0.7819548872
5	0.5243086033	0.7829544961
6	0.5108972053	0.782259116
7	0.4982029793	0.792515972
8	0.4888291424	0.7959928724
9	0.4807796383	0.7986874701
10	0.4762957258	0.797818245
11	0.4698629493	0.8034682081
12	0.4635983643	0.8059020383
13	0.4590216438	0.807205876
14	0.4552042746	0.8083358686
15	0.4527086487	0.8090747099
16	0.4477836827	0.8105523925
17	0.4442943912	0.8116823852
18	0.4407989434	0.8130731453
19	0.437880859	0.8144639054
20	0.4318887926	0.8182015733
21	0.4277327029	0.8204615585
22	0.4243974382	0.8215046286
23	0.4225016403	0.8209396323
24	0.4203037717	0.8216784736
25	0.4177689262	0.8217653961
26	0.4150938977	0.8222000087
27	0.4126149594	0.8228953888
28	0.4101608037	0.8234603851
29	0.40799148	0.8247642227
30	0.4066603477	0.8245469164
31	0.4046926031	0.8252857577
32	0.4034099519	0.8267634404
33	0.4004587511	0.8281976618
34	0.3993515961	0.8282845843
35	0.3982506417	0.8289365031
36	0.397553971	0.8294580382
37	0.3966418743	0.8298926507
38	0.3958998767	0.8300230345
39	0.3947163159	0.8305445695
40	0.3937366708	0.8309357208
41	0.3922528945	0.8314572559
42	0.3912919644	0.8316311009
43	0.3898178005	0.8324568647
44	0.3890332611	0.8326307097
45	0.3875198942	0.8329783998
46	0.3860579977	0.832848016
47	0.384615114	0.8337607023
48	0.383569672	0.8343691599
49	0.3824094939	0.83506454
50	0.3817485705	0.8351949237
51	0.3809765143	0.8358903038
52	0.3801148347	0.8363249163
53	0.379281473	0.8364553001
54	0.3786836858	0.8365422226
55	0.3775296815	0.8370202964
56	0.3765018829	0.8375418315
57	0.3759122215	0.8378895215
58	0.3748877094	0.838324134
59	0.3743156688	0.8388456691
60	0.3734829184	0.8393237429
61	0.3726575564	0.8398887392
62	0.3722643232	0.8399756617
63	0.371080846	0.8404537355
64	0.3704893278	0.8410187318
65	0.3699742484	0.8409318093
66	0.368819863	0.8417141119
67	0.3679773279	0.8416706506
68	0.3670030061	0.8419314181
69	0.3665111169	0.8422791082
70	0.3656878201	0.8421921857
71	0.3651651232	0.8424964144
72	0.364119856	0.8432352558
73	0.3631909723	0.8435394845
74	0.3621104639	0.8441914034
75	0.3613538638	0.8447563997
76	0.3607111388	0.8448433222
77	0.3599022501	0.8452344735
78	0.3591603686	0.8459733148
79	0.3586606848	0.8464513886
80	0.3579606595	0.8464513886
81	0.3573222745	0.8469729236
82	0.3569608535	0.8465817723
83	0.3562691783	0.8467990786
84	0.3557972979	0.8468860011
85	0.3545949099	0.8482333
86	0.3540569921	0.8484506063
87	0.3535283337	0.8487113738
88	0.3529016866	0.8491894476
89	0.3523143816	0.8495371376
90	0.3516010093	0.8500152114
91	0.3507602136	0.850797514
92	0.3503010931	0.850797514
93	0.3497949628	0.850623669
94	0.3492273747	0.8511886653
95	0.3483448302	0.8517102004
96	0.3474591412	0.8517971229
97	0.3472124685	0.8521448129
98	0.3464247844	0.8523186579
99	0.3454181215	0.8526228867
100	0.345101678	0.8528836542
101	0.3447768941	0.8531009605
102	0.3443272468	0.8534921118
103	0.3438604844	0.8538832631
104	0.3431434815	0.8541005693
105	0.3423965511	0.8542744144
106	0.3410419413	0.8544482594
107	0.3404450267	0.8546221044
108	0.3396572658	0.8547524882
109	0.3391460538	0.8550567169
110	0.3386556762	0.8547090269
111	0.3382310949	0.8551436394
112	0.3369256455	0.8554913295
113	0.3364198561	0.8555347907
114	0.3360804231	0.855752097
115	0.3352823916	0.8557086358
116	0.3347197246	0.856099787
117	0.334245057	0.8561867095
118	0.3333687515	0.8564040158
119	0.3324165977	0.8568386284
120	0.3316944376	0.8571863184
121	0.3309727346	0.8571428571
122	0.3306464591	0.8567951671
123	0.3303334474	0.8573601634
124	0.3297760533	0.8576643922
125	0.3293261003	0.8574470859
126	0.328706738	0.8576643922
127	0.3281670535	0.8579251597
128	0.3275325101	0.8580120822
129	0.3268106359	0.858490156
130	0.3260275437	0.8585336173
131	0.3256672985	0.8589682298
132	0.3252973177	0.8591420748
133	0.3246041626	0.8594028424
134	0.3243910526	0.8598374549
135	0.3240657579	0.86035899
136	0.3234291683	0.8605762962
137	0.3231778267	0.8604893737
138	0.322643453	0.8609239863
139	0.3220926184	0.8616193663
140	0.3215671047	0.8619670564
141	0.3208893263	0.8621409014
142	0.3204316049	0.8625755139
143	0.3200315273	0.8626189752
144	0.3194598062	0.8627493589
145	0.3192091921	0.8627058977
146	0.3189493468	0.8627493589
147	0.3185524025	0.8626189752
148	0.3182222582	0.8633143553
149	0.3178832995	0.8634882003
150	0.3177080284	0.8635751228
151	0.3173503016	0.8636620453
152	0.3168828711	0.8640097353
153	0.3164814433	0.8640531966
154	0.3161394109	0.8641835803
155	0.3155464617	0.8644878091
156	0.314976404	0.8647051154
157	0.3145039896	0.8645747316
158	0.3141606249	0.8650528054
159	0.3136442811	0.865487418
160	0.3132380405	0.8655308792
161	0.3128531132	0.8657916467
162	0.3123031542	0.8660958755
163	0.3120562154	0.866008953
164	0.3116974929	0.8662262593
165	0.3113535494	0.8664435656
166	0.3109574354	0.8667477943
167	0.3105710463	0.8667912556
168	0.3101690787	0.8668347168
169	0.3095291372	0.8676170194
170	0.3092430315	0.8676170194
171	0.3088488325	0.867877787
172	0.308531073	0.8682689382
173	0.3081200234	0.8681385545
174	0.3077103679	0.8681820157
175	0.3074088962	0.8681385545
176	0.3070014599	0.868399322
177	0.306568	0.8686166283
178	0.3060376485	0.8683123995
179	0.3056328498	0.868747012
180	0.3053244138	0.8690512408
181	0.3047455785	0.8693120083
182	0.3042815373	0.8694858534
183	0.3039362298	0.8692685471
184	0.3035501853	0.8696162371
185	0.3033084151	0.8699204659
186	0.3029026791	0.8700508497
187	0.3025492364	0.8700508497
188	0.3022641575	0.8701812334
189	0.3018387347	0.8705289235
190	0.3015582538	0.870615846
191	0.3012351346	0.8706593072
192	0.300780691	0.8710069973
193	0.3003182706	0.8712243035
194	0.300046133	0.8716154548
195	0.299775183	0.8717892998
196	0.2992208769	0.8721804511
197	0.2987127222	0.8722239124
198	0.2983097101	0.8722673736
199	0.298003083	0.8723542961
