iter	Passed	Remaining
0	105	20994
1	130	12962
2	154	10118
3	177	8713
4	200	7831
5	224	7245
6	248	6841
7	271	6504
8	295	6261
9	319	6077
10	345	5936
11	369	5795
12	393	5667
13	418	5559
14	445	5490
15	480	5530
16	512	5518
17	549	5553
18	585	5577
19	623	5608
20	665	5668
21	693	5608
22	719	5536
23	745	5467
24	772	5405
25	800	5354
26	825	5286
27	846	5200
28	869	5129
29	892	5058
30	919	5013
31	943	4955
32	972	4920
33	1006	4912
34	1049	4945
35	1230	5606
36	1381	6087
37	1506	6423
38	1587	6552
39	1668	6672
40	1738	6743
41	1774	6673
42	1842	6727
43	1872	6640
44	1897	6534
45	1934	6476
46	2063	6716
47	2152	6816
48	2198	6773
49	2229	6689
50	2287	6683
51	2325	6619
52	2354	6529
53	2392	6467
54	2424	6391
55	2459	6323
56	2501	6274
57	2537	6212
58	2564	6129
59	2588	6039
60	2609	5947
61	2632	5858
62	2655	5774
63	2676	5687
64	2700	5609
65	2722	5528
66	2744	5448
67	2765	5369
68	2786	5290
69	2807	5213
70	2829	5140
71	2849	5065
72	2870	4994
73	2891	4922
74	2911	4853
75	2932	4784
76	2953	4718
77	2976	4655
78	2997	4591
79	3056	4585
80	3134	4605
81	3210	4619
82	3266	4605
83	3345	4620
84	3377	4569
85	3400	4508
86	3422	4445
87	3445	4384
88	3468	4325
89	3489	4265
90	3511	4205
91	3532	4147
92	3553	4088
93	3573	4030
94	3595	3973
95	3617	3919
96	3653	3879
97	3715	3867
98	3793	3870
99	3882	3882
100	3933	3855
101	3964	3808
102	3987	3754
103	4008	3700
104	4028	3644
105	4048	3590
106	4069	3537
107	4090	3484
108	4113	3434
109	4136	3384
110	4157	3333
111	4179	3283
112	4200	3233
113	4222	3185
114	4244	3136
115	4264	3088
116	4285	3040
117	4307	2993
118	4327	2945
119	4347	2898
120	4371	2854
121	4392	2808
122	4412	2762
123	4433	2717
124	4455	2673
125	4477	2629
126	4499	2586
127	4521	2543
128	4542	2500
129	4563	2457
130	4583	2413
131	4603	2371
132	4622	2328
133	4644	2287
134	4664	2246
135	4687	2205
136	4712	2167
137	4736	2128
138	4761	2089
139	4783	2049
140	4806	2011
141	4831	1973
142	4854	1935
143	4875	1896
144	4897	1857
145	4920	1819
146	4940	1781
147	4962	1743
148	4983	1705
149	5006	1668
150	5027	1631
151	5048	1594
152	5070	1557
153	5092	1521
154	5114	1484
155	5138	1449
156	5205	1425
157	5307	1410
158	5383	1388
159	5444	1361
160	5507	1334
161	5537	1298
162	5559	1261
163	5579	1224
164	5600	1187
165	5620	1151
166	5643	1115
167	5664	1078
168	5685	1042
169	5708	1007
170	5729	971
171	5750	936
172	5771	900
173	5796	866
174	5817	831
175	5839	796
176	5894	765
177	5975	738
178	6063	711
179	6132	681
180	6182	649
181	6234	616
182	6274	582
183	6329	550
184	6383	517
185	6425	483
186	6459	449
187	6490	414
188	6526	379
189	6557	345
190	6582	310
191	6602	275
192	6622	240
193	6643	205
194	6662	170
195	6697	136
196	6769	103
197	6828	68
198	6900	34
199	6961	0
